group,author,book,chunk_id,word_count,n_words,n_sentences,yules_k,simpsons_d,ttr,mattr_100,mean_word_length,mean_sentence_length,std_sentence_length,function_word_ratio,stopword_ratio,mean_dependency_distance,mean_tree_depth,mean_branching_factor
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_043,1000,967,60,103.24150963170351,0.010334838490047338,0.5760082730093071,0.7852073732718894,5.245087900723888,16.116666666666667,12.338411116869501,0.40847983453981385,0.45087900723888313,2.4758771929824563,4.316666666666666,1.1137538779731126
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_044,1000,952,63,94.7143563307676,0.009481395081691983,0.5399159663865546,0.7722274325908558,5.285714285714286,15.11111111111111,10.819017810526042,0.4117647058823529,0.4495798319327731,2.6622073578595318,4.0,1.10609243697479
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_045,1000,921,92,100.72609081617135,0.010083557569749328,0.5982627578718784,0.7949756690997567,5.380021715526602,10.01086956521739,6.559915437580285,0.38653637350705755,0.4223669923995657,2.371194379391101,3.282608695652174,1.0716612377850163
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_046,1000,933,70,95.16490156682049,0.00952670098303042,0.5605573419078242,0.7887649880095924,5.067524115755627,13.32857142857143,8.649890880519704,0.40514469453376206,0.4512325830653805,2.5927189988623436,3.7714285714285714,1.0814576634512325
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_047,1000,944,53,95.27165326055731,0.00953726836457753,0.5466101694915254,0.7649822485207102,5.148305084745763,17.81132075471698,12.616336525006409,0.4480932203389831,0.4830508474576271,2.6825749167591564,4.169811320754717,1.125
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_048,1000,964,58,82.04059847454417,0.008212579120400892,0.5238589211618258,0.7617341040462429,5.182572614107884,16.620689655172413,11.676424207906994,0.43257261410788383,0.47925311203319504,2.6902944383860414,4.0344827586206895,1.08402489626556
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_049,1000,928,73,112.1943742568371,0.011231540378677974,0.5431034482758621,0.76167671893848,5.173491379310345,12.712328767123287,9.448460702428562,0.44288793103448276,0.47198275862068967,2.572247706422018,3.671232876712329,1.0991379310344827
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_050,1000,936,68,103.20786763094455,0.01033182503770739,0.5534188034188035,0.7772520908004779,5.188034188034188,13.764705882352942,9.530319491988564,0.4337606837606838,0.469017094017094,2.560090702947846,3.8970588235294117,1.0747863247863247
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_051,1000,923,73,109.30488338816967,0.010942343532243015,0.5601300108342362,0.7770509708737864,5.293607800650054,12.643835616438356,7.668419249180187,0.4257854821235103,0.4528710725893825,2.335227272727273,3.767123287671233,1.0162513542795233
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_052,1000,954,82,91.92234835998927,0.009201880412951707,0.5576519916142557,0.7825730994152046,5.0419287211740045,11.634146341463415,10.242799011419695,0.45073375262054505,0.4612159329140461,2.4824858757062147,3.4146341463414633,1.078616352201258
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_053,1000,939,69,99.75944771645453,0.009986580107222899,0.5601703940362087,0.7780357142857143,5.099041533546326,13.608695652173912,9.298928395958832,0.4174653887113951,0.44089456869009586,2.528748590755355,3.6956521739130435,1.0702875399361023
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_054,1000,950,79,110.6038781163435,0.011072042593311519,0.5421052631578948,0.7730669800235017,5.307368421052631,12.025316455696203,7.880394971056705,0.41368421052631577,0.4494736842105263,2.604703247480403,3.4177215189873418,1.0473684210526315
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_055,1000,935,74,98.21270267951614,0.00983178554661109,0.5401069518716578,0.7740789473684211,5.099465240641711,12.635135135135135,10.295071405872267,0.41818181818181815,0.46096256684491976,2.6920454545454544,3.5,1.0866310160427808
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_056,1000,943,66,102.08614235157981,0.010219451405259,0.5535524920466596,0.7815047393364929,5.193001060445387,14.287878787878787,9.577064065073372,0.4178154825026511,0.4559915164369035,2.567901234567901,3.621212121212121,1.0752916224814422
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_057,1000,951,68,103.64871334728733,0.010375781725607394,0.5751840168243953,0.7694953051643193,5.156677181913775,13.985294117647058,9.788187128699368,0.4227129337539432,0.45636172450052576,2.7363737486095663,3.838235294117647,1.0820189274447949
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_058,1000,956,69,117.40428213791775,0.011752721855900457,0.5449790794979079,0.7482847141190198,5.006276150627615,13.855072463768115,8.827288654776677,0.4361924686192469,0.4665271966527197,2.6128318584070795,3.652173913043478,1.100418410041841
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_059,1000,958,65,108.41567113114047,0.01085289581438167,0.5271398747390397,0.7641559953434226,5.021920668058455,14.738461538461538,8.507511473944067,0.44154488517745305,0.47286012526096033,2.5126791620727675,4.123076923076923,1.069937369519833
psychographed,andre_luiz,entre_a_terra_e_o_céu,psychographed_andre_luiz_entre_a_terra_e_o_céu_060,674,637,48,108.28821324448147,0.010845847773071493,0.5777080062794349,0.758903345724907,4.828885400313972,13.270833333333334,8.275817138238105,0.4301412872841444,0.46467817896389324,2.4312080536912752,3.7916666666666665,1.0941915227629513
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_000,1000,903,84,83.00129137647487,0.008309331054651531,0.5913621262458472,0.783134328358209,5.426356589147287,10.75,11.168487769058936,0.3798449612403101,0.40753045404208194,2.873205741626794,2.988095238095238,1.1273532668881505
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_001,1000,965,58,97.97846922065023,0.009808010663685422,0.5813471502590674,0.7784642032332565,5.274611398963731,16.637931034482758,14.714171301799228,0.42072538860103625,0.45181347150259066,2.7251908396946565,4.293103448275862,1.094300518134715
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_002,1000,974,48,92.21272594647698,0.00923074975044898,0.5616016427104723,0.7675199999999999,5.484599589322382,20.291666666666668,12.726216925002582,0.419917864476386,0.4353182751540041,2.834578441835646,4.791666666666667,1.108829568788501
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_003,1000,984,38,100.05618348866416,0.01001579700435865,0.5640243902439024,0.7755706214689264,5.5477642276422765,25.894736842105264,20.020764843800247,0.4166666666666667,0.4573170731707317,3.1281512605042017,5.2368421052631575,1.1189024390243902
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_004,1000,974,48,92.48679211870017,0.009258184534801024,0.5544147843942505,0.7679885714285715,5.34599589322382,20.291666666666668,13.086185994738456,0.43634496919917864,0.4527720739219713,2.823529411764706,4.416666666666667,1.0790554414784395
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_005,1000,972,44,79.25621094345374,0.007933783422969829,0.5874485596707819,0.8010080183276059,5.512345679012346,22.09090909090909,17.773599141599906,0.4156378600823045,0.4434156378600823,3.158288770053476,4.840909090909091,1.124485596707819
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_006,1000,973,42,83.99446937824868,0.008408088344139503,0.5755395683453237,0.7892448512585812,5.452209660842755,23.166666666666668,21.59355797527925,0.41007194244604317,0.4357656731757451,3.4014989293361886,4.690476190476191,1.0976361767728675
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_007,1000,971,43,89.49547166489366,0.008958773503774406,0.5932028836251287,0.7917660550458716,5.4037075180226575,22.58139534883721,15.143088926604378,0.40885684860968075,0.4232749742533471,2.7303974221267455,5.023255813953488,1.1318228630278064
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_008,1000,951,60,91.5080810392735,0.009160440533510433,0.6004206098843323,0.7918544600938967,5.22292323869611,15.85,9.833319209029403,0.4227129337539432,0.45846477392218715,2.5741150442477876,4.2,1.071503680336488
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_009,1000,964,46,93.87751588299099,0.009397500032316024,0.58298755186722,0.7784393063583815,5.20746887966805,20.956521739130434,13.074962003002616,0.43983402489626555,0.47199170124481327,2.7405405405405405,5.065217391304348,1.088174273858921
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_010,1000,966,56,92.20323289996529,0.009229878029157146,0.567287784679089,0.78401384083045,5.174948240165631,17.25,13.509586543319102,0.43167701863354035,0.45962732919254656,2.9727371864776444,4.178571428571429,1.0962732919254659
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_011,1000,962,70,90.162127584165,0.009025594873669796,0.6101871101871101,0.798574739281576,5.426195426195426,13.742857142857142,9.133432642590337,0.42411642411642414,0.4365904365904366,2.53429203539823,3.8714285714285714,1.0914760914760915
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_012,1000,964,62,91.25187238511734,0.009134663030036667,0.5964730290456431,0.7900924855491329,5.551867219917012,15.548387096774194,11.264671321400744,0.40975103734439833,0.4450207468879668,2.5334796926454444,4.096774193548387,1.1192946058091287
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_013,1000,963,57,92.75703630377983,0.009285345733943864,0.5711318795430945,0.7779861111111112,5.330218068535825,16.894736842105264,12.314139940515846,0.4257528556593977,0.44963655244029077,2.5637949836423117,4.526315789473684,1.09865005192108
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_014,1000,956,69,83.98837555364928,0.008407632149663738,0.5857740585774058,0.7872578763127188,5.49163179916318,13.855072463768115,10.114239298580586,0.41841004184100417,0.44142259414225943,2.5033407572383073,3.753623188405797,1.1119246861924685
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_015,1000,970,64,81.94282070358167,0.008202738501803326,0.6072164948453608,0.7986681974741676,5.474226804123711,15.15625,13.51760281771513,0.41030927835051545,0.44123711340206184,2.667032967032967,3.734375,1.131958762886598
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_016,1000,947,71,93.37551251158273,0.009347421812734551,0.5976768743400211,0.7845872641509435,5.308342133051743,13.338028169014084,9.174280740079741,0.40021119324181625,0.4371700105596621,2.8568207440811726,3.76056338028169,1.1235480464625132
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_017,1000,951,72,84.85174164999817,0.008494105927278764,0.5983175604626709,0.7967018779342723,5.375394321766562,13.208333333333334,9.417680623876207,0.4237644584647739,0.45425867507886436,2.4695945945945947,3.638888888888889,1.1051524710830705
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_018,1000,961,61,94.9193358894925,0.009501821019771073,0.562955254942768,0.7728190255220418,5.200832466181061,15.754098360655737,14.140577280521143,0.4183142559833507,0.4557752341311134,2.6750823271130626,4.114754098360656,1.0718002081165452
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_019,1000,947,54,82.47018038400596,0.008255735816453873,0.5913410770855333,0.792818396226415,5.474128827877508,17.537037037037038,14.188823148237546,0.41288278775079196,0.4625131995776135,2.7790055248618786,4.222222222222222,1.1151003167898628
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_020,1000,965,49,103.73432843834733,0.010384193666286845,0.5585492227979275,0.7721362586605082,5.248704663212435,19.693877551020407,15.806488052582548,0.44248704663212435,0.48186528497409326,2.8565264293419634,4.714285714285714,1.0974093264248705
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_021,1000,964,48,89.487095607858,0.008958002094078411,0.6058091286307054,0.8094219653179192,5.4512448132780085,20.083333333333332,13.6608219209371,0.41286307053941906,0.42738589211618255,2.966340933767644,4.854166666666667,1.137966804979253
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_022,1000,951,70,104.13522320298186,0.010424483922740606,0.5709779179810726,0.7773239436619718,5.234490010515247,13.585714285714285,10.62408699558677,0.40799158780231337,0.45951629863301785,2.5239154616240267,3.8142857142857145,1.077812828601472
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_023,1000,928,71,80.95830856123662,0.008104564222742998,0.603448275862069,0.7889143546441496,5.558189655172414,13.070422535211268,10.477775196142575,0.4084051724137931,0.43103448275862066,2.561142857142857,3.5492957746478875,1.0775862068965518
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_024,1000,951,62,91.86190638886954,0.009195860313243678,0.544689800210305,0.7758215962441315,5.1650893796004205,15.338709677419354,11.631358543217301,0.4437434279705573,0.47003154574132494,2.8229398663697105,3.9838709677419355,1.1419558359621451
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_025,1000,933,70,88.63983347291006,0.008873494059037026,0.5702036441586281,0.7980215827338129,5.242229367631297,13.32857142857143,10.578578663063023,0.4190782422293676,0.4587352625937835,2.6859410430839,3.7142857142857144,1.0857449088960343
psychographed,andre_luiz,libertação,psychographed_andre_luiz_libertação_026,1000,949,70,94.09272252640181,0.009419197645311742,0.5922023182297155,0.7953882352941177,5.476290832455216,13.557142857142857,8.73030144183499,0.41622760800842995,0.42887249736564803,2.546979865771812,3.7714285714285714,1.1022128556375133
